Variable,Pregunta,Respuestas,ValorInterno,Valor,Open?
SOFTCORR2,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Evolution (Novell),
SOFTCORR3,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Exchange (Microsoft),
SOFTCORR4,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Gmail/Google Mail (webmail),
SOFTCORR5,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Hotmail/Outlook.com (webmail),
SOFTCORR6,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Lotus Notes (IBM),
SOFTCORR7,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Mac OS X Mail (Apple),
SOFTCORR8,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Outlook/Outlook Express/Windows Mail (Microsoft),
SOFTCORR9,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Thunderbird (Mozilla),
SOFTCORR10,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Yahoo mail (webmail),
SOFTCORR91,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Otro (programa),
SOFTCORR92,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,Otro (a través de página web/webmail),
SOFTCORR99,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,No sé,
SOFTCORRNS,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,NS/NC,
TIP,Tipo de cliente de correo electrónico que utiliza:,,0,NS/NC,
TIP,Tipo de cliente de correo electrónico que utiliza:,,1,Ambos tipos,
TIP,Tipo de cliente de correo electrónico que utiliza:,,2,Sólo a través de programas,
TIP,Tipo de cliente de correo electrónico que utiliza:,,3,Sólo a través de web/webmail,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,-,NS/NC,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,0,NS/NC,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,1,Ninguno / Casi ninguno,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,3,Menos de 11,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,5,Entre 11 y 25,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,6,Entre 26 y 50,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,7,Entre 51 y 100,
SPAM1,"Por término medio, en una semana ¿cuántos correos electrónicos no solicitados (tipo spam) recibe?",,8,Más de 100,
WEBLOG,¿Dispone Vd. de blog?,,-,NS/NC,
WEBLOG,¿Dispone Vd. de blog?,,0,NS/NC,
WEBLOG,¿Dispone Vd. de blog?,,1,"Sí, y lo actualizo frecuentemente",
WEBLOG,¿Dispone Vd. de blog?,,2,"Sí, y lo actualizo ocasionalmente",
WEBLOG,¿Dispone Vd. de blog?,,3,"Sí, pero no lo actualizo",
WEBLOG,¿Dispone Vd. de blog?,,4,No,
VIGILADO,¿Se siente vigilado en Internet?,,-,NS/NC,
VIGILADO,¿Se siente vigilado en Internet?,,0,NS/NC,
VIGILADO,¿Se siente vigilado en Internet?,,1,Mucho,
VIGILADO,¿Se siente vigilado en Internet?,,2,Bastante,
VIGILADO,¿Se siente vigilado en Internet?,,3,Poco,
VIGILADO,¿Se siente vigilado en Internet?,,4,Nada,
COOKIES,"¿Cómo tiene configurado su navegador con relación a las ""cookies""?",,-,NS/NC,
COOKIES,"¿Cómo tiene configurado su navegador con relación a las ""cookies""?",,0,NS/NC,
COOKIES,"¿Cómo tiene configurado su navegador con relación a las ""cookies""?",,1,Las acepto todas,
COOKIES,"¿Cómo tiene configurado su navegador con relación a las ""cookies""?",,2,Las rechazo/bloqueo todas,
COOKIES,"¿Cómo tiene configurado su navegador con relación a las ""cookies""?",,3,Configuración permisiva (generalmente las acepto),
COOKIES,"¿Cómo tiene configurado su navegador con relación a las ""cookies""?",,4,Configuración restrictiva (generalmente las rechazo/bloqueo),
COOKIES2,"¿Suele eliminar las ""cookies"" de su equipo?",,-,NS/NC,
COOKIES2,"¿Suele eliminar las ""cookies"" de su equipo?",,0,NS/NC,
COOKIES2,"¿Suele eliminar las ""cookies"" de su equipo?",,1,"Sí, lo hace el navegador automáticamente",
COOKIES2,"¿Suele eliminar las ""cookies"" de su equipo?",,2,"Sí, lo hago yo mismo frecuentemente",
COOKIES2,"¿Suele eliminar las ""cookies"" de su equipo?",,3,"Sí, lo hago yo mismo ocasionalmente",
COOKIES2,"¿Suele eliminar las ""cookies"" de su equipo?",,4,No,
COOKIES2,"¿Suele eliminar las ""cookies"" de su equipo?",,5,No sé,
COOKIES3,En relación con el uso de “cookies” ¿con cuál de las siguientes afirmaciones está más de acuerdo?,,-,NS/NC,
COOKIES3,En relación con el uso de “cookies” ¿con cuál de las siguientes afirmaciones está más de acuerdo?,,0,NS/NC,
COOKIES3,En relación con el uso de “cookies” ¿con cuál de las siguientes afirmaciones está más de acuerdo?,,1,Deberían estar prohibidas ,
COOKIES3,En relación con el uso de “cookies” ¿con cuál de las siguientes afirmaciones está más de acuerdo?,,2,Siempre deberían pedirme permiso para su uso,
COOKIES3,En relación con el uso de “cookies” ¿con cuál de las siguientes afirmaciones está más de acuerdo?,,3,Es suficiente con que me avisen de que se están utilizando,
COOKIES3,En relación con el uso de “cookies” ¿con cuál de las siguientes afirmaciones está más de acuerdo?,,4,No me preocupa el uso que se haga de las “cookies”,
COOKIES3,En relación con el uso de “cookies” ¿con cuál de las siguientes afirmaciones está más de acuerdo?,,5,"No sé, no tengo opinión al respecto",
COD2VIS1,Trate de recordar los últimos cinco webs visitados,,,,Si
VIS21,Trate de recordar los últimos cinco webs visitados,,,,Si
COD2VIS2,Trate de recordar los últimos cinco webs visitados,,,,Si
VIS22,Trate de recordar los últimos cinco webs visitados,,,,Si
COD2VIS3,Trate de recordar los últimos cinco webs visitados,,,,Si
VIS23,Trate de recordar los últimos cinco webs visitados,,,,Si
COD2VIS4,Trate de recordar los últimos cinco webs visitados,,,,Si
VIS24,Trate de recordar los últimos cinco webs visitados,,,,Si
COD2VIS5,Trate de recordar los últimos cinco webs visitados,,,,Si
VIS25,Trate de recordar los últimos cinco webs visitados,,,,Si
BUSC1,Señale los buscadores de la red que utiliza preferentemente,,1,Bing,
BUSC2,Señale los buscadores de la red que utiliza preferentemente,,1,DuckDuckGo,
BUSC3,Señale los buscadores de la red que utiliza preferentemente,,1,Google,
BUSC4,Señale los buscadores de la red que utiliza preferentemente,,1,Yahoo,
BUSC91,Señale los buscadores de la red que utiliza preferentemente,,1,Otros1,
BUSC92,Señale los buscadores de la red que utiliza preferentemente,,1,Otros2,
BUSC93,Señale los buscadores de la red que utiliza preferentemente,,1,Otros3,
NAVEG1A1,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Descarga programa radio para oír después,
NAVEG1A2,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Oír cadena de radio en su web o app,
NAVEG1A3,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Descarga emisiones tv para ver después,
NAVEG1A4,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Ver emisión de cadena tv en su web o app,
NAVEG1A5,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Visualización online vídeos (tipo Youtube),
NAVEG1A6,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Acceso con visor a periódico/revista,
NAVEG1A7,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Lectura de noticias de actualidad,
NAVEG1A8,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Recibir información/noticias con RSS,
NAVEG1A9,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Juegos en Red,
NAVEG1A10,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Realizar una encuesta,
NAVEG1A11,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Videoconferencia/Videollamada,
NAVEG2A1,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Descarga de música,
NAVEG2A2,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Escuchar música online (sin descargar),
NAVEG2A3,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Descarga de películas/series/documentales,
NAVEG2A4,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Ver películas/series online (sin descargar),
NAVEG2A5,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Descarga de software,
NAVEG2A6,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Descarga de libros electrónicos,
NAVEG2A7,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Gestiones con la Administración,
NAVEG2A8,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Adquisición de cupones descuento,
NAVEG2A9,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,"Apuestas (deportivas, casinos, loterías...)",
NAVEG2A10,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Opinar sobre temas económicos/políticos…,
NAVEG2A11,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,“Firmar” peticiones para reivindicar algo,
NAVEG3A1,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Búsqueda de pareja/Citas,
NAVEG3A2,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Búsqueda de empleo,
NAVEG3A3,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,"Buscar vivienda (compra, alquiler,…)",
NAVEG3A4,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Buscar información temas de salud,
NAVEG3A5,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,"Búsqueda de cursos, masters, formación",
NAVEG3A6,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Consulta de información financiera,
NAVEG3A7,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Consulta carteleras cine/espectáculos,
NAVEG3A8,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Consulta de mapas/callejeros,
NAVEG3A9,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Consulta de previsiones meteorológicas,
NAVEG3A10,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,Consulta de información sobre tráfico,
NAVEG3A11,Durante los últimos 30 días ¿cuáles de las siguientes actividades ha realizado a través de Internet?,,1,"Visitas a páginas web para ""adultos""",
NAVEGB_1,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Lectura de noticias de actualidad",,-,NS/NC,
NAVEGB_1,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Lectura de noticias de actualidad",,0,NS/NC,
NAVEGB_1,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Lectura de noticias de actualidad",,1,Gratuito,
NAVEGB_1,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Lectura de noticias de actualidad",,2,De pago,
NAVEGB_1,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Lectura de noticias de actualidad",,3,Ambas formas,
NAVEGB_2,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Juegos en Red",NAVEGB_1,,,
NAVEGB_3,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Descarga de música",NAVEGB_1,,,
NAVEGB_4,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Escuchar música online (sin descargar)",NAVEGB_1,,,
NAVEGB_5,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Descarga de películas/series/documentales",NAVEGB_1,,,
NAVEGB_6,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Ver películas/series online (sin descargar)",NAVEGB_1,,,
NAVEGB_7,"Para las siguientes actividades que realizó por Internet en los últimos 30 días, indique si fue gratuito, de pago o de ambas formas. Descarga de libros electrónicos",NAVEGB_1,,,
ACTIVTV1,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Navegar por la Web,
ACTIVTV2,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Correo electrónico (e-mail),
ACTIVTV3,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Ver contenidos audiovisuales,
ACTIVTV4,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Acceso a redes sociales,
ACTIVTV5,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Lectura de noticias de actualidad,
ACTIVTV6,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Escuchar la radio por Internet (no por TDT),
ACTIVTV7,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Compra de productos/servicios online,
ACTIVTV8,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través del televisor?,,1,Otras,
MOVIL1,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Navegar por la Web,
MOVIL2,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Correo electrónico (e-mail),
MOVIL3,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Subir fotos,
MOVIL4,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Subir vídeos,
MOVIL5,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Visualización online vídeos (tipo Youtube),
MOVIL6,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Acceso a redes sociales,
MOVIL7,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Mensajería instantánea,
MOVIL8,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Consultas o transacciones bancarias,
MOVIL9,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Lectura de noticias de actualidad,
MOVIL10,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,"Llamada de voz sobre IP (Viber, Skype,…)",
MOVIL11,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Escuchar la radio por Internet,
MOVIL12,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Ver emisión de cadena tv en su web o app,
MOVIL13,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… el teléfono móvil?,,1,Compra de productos/servicios online,
TABLET1,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Navegar por la Web,
TABLET2,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Correo electrónico (e-mail),
TABLET3,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Subir fotos,
TABLET4,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Subir vídeos,
TABLET5,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Visualización online vídeos (tipo Youtube),
TABLET6,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Acceso a redes sociales,
TABLET7,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Mensajería instantánea,
TABLET8,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Consultas o transacciones bancarias,
TABLET9,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Lectura de noticias de actualidad,
TABLET10,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,"Llamada de voz sobre IP (Viber, Skype,…)",
TABLET11,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Escuchar la radio por Internet,
TABLET12,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Ver emisión de cadena tv en su web o app,
TABLET13,Durante los últimos 30 días ¿Cuáles de las siguientes actividades ha realizado en Internet a través de…… tablet?,,1,Compra de productos/servicios online,
BIDI,¿Cuándo ha escaneado códigos QR/BIDI por última vez?,DONDE,,,
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,-,NS/NC,
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,0,NS/NC,
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,1,Android,
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,3,Blackberry OS,
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,4,iOS (iPhone),
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,6,Windows Phone,
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,7,Otro,
SISMOV,¿Qué sistema operativo tiene el teléfono móvil con el que accede principalmente a Internet?,,8,No sé,
CUATROG,¿Dispone de conexión 4G a través del teléfono móvil?,,-,NS/NC,
CUATROG,¿Dispone de conexión 4G a través del teléfono móvil?,,0,NS/NC,
CUATROG,¿Dispone de conexión 4G a través del teléfono móvil?,,1,Sí,
CUATROG,¿Dispone de conexión 4G a través del teléfono móvil?,,2,No,
CUATROG,¿Dispone de conexión 4G a través del teléfono móvil?,,3,No lo sé,
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,-,NS/NC,
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,0,NS/NC,
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,1,Sólo a través de wifi,
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,2,Mayoritariamente a través de wifi,
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,3,Wifi y red móvil (3G/4G) en proporciones similares,
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,4,Mayoritariamente por red móvil (3G/4G),
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,5,Prácticamente sólo por red móvil (3G/4G),
CONEXMOV_1,En general ¿cómo realiza la conexión a Internet por…teléfono móvil con el que accede principalmente a Internet?,,9,No sé,
CONEXMOV_2,En general ¿cómo realiza la conexión a Internet por…tablet,CONEXMOV_1,,,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,-,NS/NC,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,0,NS/NC,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,2,No lo sé. Paga mi empresa/otra persona,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,3,Movistar,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,4,Orange,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,5,Pepephone,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,6,Simyo,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,7,Vodafone / Ono,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,8,Yoigo,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,9,Euskaltel,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,10,Jazztel,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,12,R Galicia,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,13,Tuenti Móvil,
PROVMOV,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,14,Amena,
CODPROVM,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,99,Otros (abierta):,Si
PROVM,¿Quién le proporciona el servicio de acceso a Internet en el teléfono móvil con el que accede principalmente a Internet?,,,,Si
APPSPROP,"Cuando accede a Internet por el teléfono móvil, ¿en qué proporción lo hace a través de aplicaciones/apps?",,-,NS/NC,
APPSPROP,"Cuando accede a Internet por el teléfono móvil, ¿en qué proporción lo hace a través de aplicaciones/apps?",,0,NS/NC,
APPSPROP,"Cuando accede a Internet por el teléfono móvil, ¿en qué proporción lo hace a través de aplicaciones/apps?",,1,Siempre / Casi siempre,
APPSPROP,"Cuando accede a Internet por el teléfono móvil, ¿en qué proporción lo hace a través de aplicaciones/apps?",,2,La mayoría de las veces,
APPSPROP,"Cuando accede a Internet por el teléfono móvil, ¿en qué proporción lo hace a través de aplicaciones/apps?",,3,Aproximadamente la mitad de las veces,
APPSPROP,"Cuando accede a Internet por el teléfono móvil, ¿en qué proporción lo hace a través de aplicaciones/apps?",,4,Menos de la mitad de las veces,
APPSPROP,"Cuando accede a Internet por el teléfono móvil, ¿en qué proporción lo hace a través de aplicaciones/apps?",,5,Nunca / Casi nunca,
APPSFREQ,¿Con qué frecuencia usa aplicaciones/apps en el móvil o tablet?,,-,NS/NC,
APPSFREQ,¿Con qué frecuencia usa aplicaciones/apps en el móvil o tablet?,,0,NS/NC,
APPSFREQ,¿Con qué frecuencia usa aplicaciones/apps en el móvil o tablet?,,1,Varias veces al día,
APPSFREQ,¿Con qué frecuencia usa aplicaciones/apps en el móvil o tablet?,,2,Todos o casi todos los días,
APPSFREQ,¿Con qué frecuencia usa aplicaciones/apps en el móvil o tablet?,,3,Varias veces a la semana,
APPSFREQ,¿Con qué frecuencia usa aplicaciones/apps en el móvil o tablet?,,4,Varias veces al mes,
APPSFREQ,¿Con qué frecuencia usa aplicaciones/apps en el móvil o tablet?,,5,Con menor frecuencia / Nunca,
APPSTIPMOV1,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Redes sociales (Facebook, Twitter…)",
APPSTIPMOV2,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Correo (Gmail, Hotmail, Yahoo mail…)",
APPSTIPMOV3,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Comunicación (WhatsApp, Line, Viber…)",
APPSTIPMOV4,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Información (periódicos, bolsa, tiempo,…)",
APPSTIPMOV5,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Entretenimiento (juegos, música, tv…)",
APPSTIPMOV6,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Ocio/Tiempo libre (viajes, aficiones…)",
APPSTIPMOV7,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Localización (mapas, lugares cercanos…)",
APPSTIPMOV8,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,"Compras (Amazon, Zara, Privalia,…)",
APPSTIPMOV9,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,Otras,
APPSTIPMOVNS,¿Qué tipo de aplicaciones/apps utiliza en…… el móvil?,,1,NS/NC,
APPSTIPTAB1,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Redes sociales (Facebook, Twitter…)",
APPSTIPTAB2,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Correo (Gmail, Hotmail, Yahoo mail…)",
APPSTIPTAB3,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Comunicación (WhatsApp, Line, Viber…)",
APPSTIPTAB4,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Información (periódicos, bolsa, tiempo,…)",
APPSTIPTAB5,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Entretenimiento (juegos, música, tv…)",
APPSTIPTAB6,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Ocio/Tiempo libre (viajes, aficiones…)",
APPSTIPTAB7,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Localización (mapas, lugares cercanos…)",
APPSTIPTAB8,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,"Compras (Amazon, Zara, Privalia,…)",
APPSTIPTAB9,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,Otras,
APPSTIPTABNS,¿Qué tipo de aplicaciones/apps utiliza en…… el tablet?,,1,NS/NC,
APPSTV1,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la televisión?,,1,"Sí, de una cadena de TV que permite ver sus canales (Mitele, Atresplayer…)",
APPSTV2,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la televisión?,,1,"Sí, una que accede a muchos canales de distintas cadenas de TV (Zattoo,…)",
APPSTV3,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la televisión?,,1,"Sí, otro tipo de aplicación sobre TV",
APPSTV4,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la televisión?,,1,No,
APPSTVNS,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la televisión?,,1,NS/NC,
APPSTVFREQ,¿Con qué frecuencia usa estas aplicaciones relacionadas con la televisión?,FREQ,,,
